model_a,model_b,winner,category
gemini-2.5-flash,o4-mini-2025-04-16,model_b,other
llama-4-maverick-03-26-experimental,mistral-medium-2505,model_b,other
o4-mini-2025-04-16,claude-3-5-haiku-20241022,model_a,other
command-a-03-2025,qwen3-235b-a22b-instruct-2507,model_b,other
claude-sonnet-4-20250514,qwen3-235b-a22b,model_a,other
gemini-2.5-flash,claude-3-5-sonnet-20241022,model_a,other
claude-3-5-haiku-20241022,claude-sonnet-4-20250514-thinking-32k,model_a,other
claude-opus-4-20250514,gemma-3-27b-it,model_b,other
llama-3.3-70b-instruct,deepseek-r1-0528,model_b,other
gpt-4o-mini-2024-07-18,gemini-2.0-flash-001,model_a,coding
chatgpt-4o-latest-20250326,command-a-03-2025,model_a,other
claude-3-7-sonnet-20250219,gemini-2.5-flash-lite-preview-06-17-thinking,model_b,other
minimax-m1,o4-mini-2025-04-16,model_b,coding
claude-opus-4-20250514,qwen3-235b-a22b-no-thinking,model_b,other
qwen3-235b-a22b-no-thinking,claude-sonnet-4-20250514-thinking-32k,model_a,other
claude-opus-4-20250514,o3-2025-04-16,model_a,other
mistral-medium-2505,gpt-4.1-mini-2025-04-14,model_a,other
gpt-4.1-2025-04-14,gpt-4.1-mini-2025-04-14,model_a,other
deepseek-r1-0528,amazon.nova-pro-v1:0,model_a,other
mistral-medium-2505,gemma-3-27b-it,model_b,coding
claude-3-7-sonnet-20250219,chatgpt-4o-latest-20250326,model_b,other
grok-3-mini-beta,gemini-2.0-flash-001,model_a,coding
claude-3-7-sonnet-20250219,llama-4-maverick-03-26-experimental,model_b,other
llama-4-maverick-03-26-experimental,gemini-2.0-flash-001,model_b,coding
gemini-2.5-pro-preview-03-25,chatgpt-4o-latest-20250326,model_b,other
command-a-03-2025,chatgpt-4o-latest-20250326,model_b,other
llama-3.3-70b-instruct,amazon.nova-pro-v1:0,model_b,other
qwen-max-2025-01-25,gpt-4.1-2025-04-14,model_a,other
qwq-32b,gemma-3-27b-it,model_b,other
qwq-32b,command-a-03-2025,model_a,other
claude-3-7-sonnet-20250219-thinking-32k,gpt-4.1-2025-04-14,model_a,other
claude-3-7-sonnet-20250219,gemini-2.5-flash,model_a,other
o4-mini-2025-04-16,magistral-medium-2506,model_a,other
o3-2025-04-16,qwen3-30b-a3b,model_a,other
o4-mini-2025-04-16,qwen3-235b-a22b,model_b,other
gemini-2.5-flash,gemini-2.5-flash-lite-preview-06-17-thinking,model_a,other
mistral-medium-2505,claude-sonnet-4-20250514-thinking-32k,model_b,other
grok-3-mini-beta,gemma-3-27b-it,model_a,other
deepseek-v3-0324,claude-3-7-sonnet-20250219-thinking-32k,model_b,other
claude-opus-4-20250514,gemini-2.5-pro,model_b,other
grok-3-preview-02-24,claude-3-5-sonnet-20241022,model_a,other
o3-2025-04-16,mistral-medium-2505,model_b,coding
gemini-2.5-pro,gemini-2.0-flash-001,model_a,other
command-a-03-2025,gemini-2.5-flash,model_b,other
claude-3-5-sonnet-20241022,o3-mini,model_b,coding
gemini-2.5-flash,llama-4-maverick-03-26-experimental,model_a,coding
deepseek-v3-0324,claude-3-7-sonnet-20250219-thinking-32k,model_a,other
mistral-medium-2505,claude-3-7-sonnet-20250219,model_a,other
qwen-max-2025-01-25,claude-3-7-sonnet-20250219-thinking-32k,model_a,coding
gpt-4.1-2025-04-14,claude-3-5-haiku-20241022,model_b,other
gemini-2.0-flash-001,llama-3.3-70b-instruct,model_a,coding
kimi-k2-0711-preview,command-a-03-2025,model_a,other
gemma-3-27b-it,gemini-2.5-flash,model_b,other
amazon.nova-pro-v1:0,o4-mini-2025-04-16,model_b,other
deepseek-r1-0528,grok-3-preview-02-24,model_b,coding
llama-3.3-70b-instruct,grok-3-mini-beta,model_b,other
claude-3-7-sonnet-20250219,llama-3.3-70b-instruct,model_a,other
magistral-medium-2506,chatgpt-4o-latest-20250326,model_b,other
hunyuan-turbos-20250416,claude-opus-4-20250514,model_b,coding
deepseek-r1-0528,qwen3-235b-a22b-no-thinking,model_a,other
gemini-2.5-pro,claude-opus-4-20250514-thinking-16k,model_b,other
llama-4-maverick-03-26-experimental,gemini-2.5-flash,model_a,coding
minimax-m1,grok-4-0709,model_a,other
mistral-medium-2505,o3-2025-04-16,model_b,other
gemini-2.0-flash-001,grok-3-preview-02-24,model_a,other
grok-3-preview-02-24,mistral-small-2506,model_a,coding
claude-3-7-sonnet-20250219-thinking-32k,command-a-03-2025,model_a,coding
amazon.nova-pro-v1:0,qwen3-30b-a3b,model_b,coding
llama-3.3-70b-instruct,qwen3-235b-a22b,model_a,other
gemma-3-27b-it,claude-sonnet-4-20250514-thinking-32k,model_a,other
qwen3-235b-a22b-no-thinking,grok-3-mini-high,model_a,other
gemini-2.5-pro,deepseek-v3-0324,model_b,other
o3-2025-04-16,gpt-4o-mini-2024-07-18,model_a,other
o3-2025-04-16,mistral-small-2506,model_a,other
gemini-2.5-flash,deepseek-r1-0528,model_a,other
claude-opus-4-20250514,mistral-medium-2505,model_b,other
claude-sonnet-4-20250514-thinking-32k,minimax-m1,model_a,other
command-a-03-2025,o3-2025-04-16,model_b,other
o4-mini-2025-04-16,gemma-3n-e4b-it,model_b,coding
gemini-2.5-flash-lite-preview-06-17-thinking,mistral-medium-2505,model_b,other
kimi-k2-0711-preview,claude-opus-4-20250514,model_b,other
grok-3-preview-02-24,llama-3.3-70b-instruct,model_a,other
gemini-2.5-flash,llama-4-maverick-17b-128e-instruct,model_a,other
gemini-2.5-pro,minimax-m1,model_a,other
o4-mini-2025-04-16,claude-3-7-sonnet-20250219,model_a,other
gemini-2.5-flash,qwq-32b,model_a,other
gemma-3-27b-it,deepseek-r1-0528,model_b,other
qwen-max-2025-01-25,llama-4-maverick-17b-128e-instruct,model_a,coding
claude-opus-4-20250514,gemini-2.5-flash-preview-04-17,model_b,other
gemini-2.5-flash,claude-opus-4-20250514,model_b,coding
qwen3-30b-a3b,command-a-03-2025,model_b,other
deepseek-v3-0324,gemini-2.5-flash,model_b,coding
kimi-k2-0711-preview,llama-3.3-70b-instruct,model_a,other
qwen3-235b-a22b-no-thinking,claude-opus-4-20250514-thinking-16k,model_a,other
hunyuan-turbos-20250416,gemini-2.5-flash-lite-preview-06-17-thinking,model_b,other
deepseek-r1-0528,qwen-max-2025-01-25,model_a,other
gemini-2.5-pro,claude-3-5-sonnet-20241022,model_a,other
gemini-2.5-flash-lite-preview-06-17-thinking,llama-4-maverick-17b-128e-instruct,model_a,coding
minimax-m1,deepseek-r1-0528,model_a,other
gemini-2.5-pro,amazon-nova-experimental-chat-05-14,model_a,other
chatgpt-4o-latest-20250326,mistral-medium-2505,model_a,other
gemini-2.5-pro,gemini-2.5-flash-preview-04-17,model_b,other
gemini-2.5-pro,chatgpt-4o-latest-20250326,model_b,coding
claude-3-7-sonnet-20250219-thinking-32k,gemini-2.5-pro,model_b,other
minimax-m1,gemini-2.5-flash,model_a,other
deepseek-v3-0324,gemini-2.5-flash-lite-preview-06-17-thinking,model_b,other
claude-3-7-sonnet-20250219-thinking-32k,llama-4-maverick-17b-128e-instruct,model_a,other
claude-opus-4-20250514,qwen3-235b-a22b,model_b,coding
qwen3-30b-a3b,gemini-2.5-flash-lite-preview-06-17-thinking,model_b,coding
gpt-4.1-mini-2025-04-14,claude-3-7-sonnet-20250219,model_a,other
o4-mini-2025-04-16,gemma-3-27b-it,model_a,other
claude-3-7-sonnet-20250219,gemini-2.5-flash,model_b,coding
claude-3-7-sonnet-20250219-thinking-32k,o3-2025-04-16,model_b,coding
claude-opus-4-20250514-thinking-16k,grok-3-mini-beta,model_b,other
amazon.nova-pro-v1:0,gpt-4.1-mini-2025-04-14,model_a,coding
mistral-medium-2505,gemini-2.5-flash,model_a,other
grok-4-0709,deepseek-v3-0324,model_a,coding
claude-3-5-sonnet-20241022,o3-2025-04-16,model_b,coding
qwen3-235b-a22b,gemini-2.5-flash,model_b,coding
qwen3-235b-a22b-no-thinking,amazon-nova-experimental-chat-05-14,model_a,coding
qwen3-235b-a22b-no-thinking,gemini-2.5-flash-lite-preview-06-17-thinking,model_a,coding
claude-3-7-sonnet-20250219-thinking-32k,mistral-small-3.1-24b-instruct-2503,model_b,other
command-a-03-2025,gemini-2.5-pro,model_b,other
grok-4-0709,kimi-k2-0711-preview,model_b,other
mistral-medium-2505,grok-3-preview-02-24,model_b,other
qwen3-30b-a3b,claude-opus-4-20250514,model_a,other
amazon-nova-experimental-chat-05-14,qwen3-235b-a22b-no-thinking,model_a,other
mistral-small-3.1-24b-instruct-2503,llama-3.3-70b-instruct,model_b,other
claude-sonnet-4-20250514-thinking-32k,grok-3-preview-02-24,model_b,other
grok-3-mini-beta,amazon.nova-pro-v1:0,model_a,other
o4-mini-2025-04-16,gemma-3n-e4b-it,model_b,other
command-a-03-2025,claude-opus-4-20250514-thinking-16k,model_a,other
qwen-max-2025-01-25,grok-3-preview-02-24,model_b,other
kimi-k2-0711-preview,gemini-2.5-flash-lite-preview-06-17-thinking,model_b,other
gemini-2.5-pro,mistral-medium-2505,model_a,other
claude-3-5-haiku-20241022,deepseek-v3-0324,model_b,other
gpt-4.1-2025-04-14,deepseek-v3-0324,model_b,other
llama-4-maverick-03-26-experimental,claude-opus-4-20250514,model_b,coding
grok-3-mini-high,magistral-medium-2506,model_b,coding
gemini-2.0-flash-001,chatgpt-4o-latest-20250326,model_b,other
deepseek-v3-0324,o3-2025-04-16,model_b,other
claude-3-7-sonnet-20250219,grok-3-mini-high,model_b,other
gpt-4.1-2025-04-14,gemini-2.5-flash,model_a,coding
gemini-2.5-flash-preview-04-17,mistral-medium-2505,model_a,other
gemini-2.5-pro,claude-sonnet-4-20250514,model_a,coding
gemini-2.5-flash-lite-preview-06-17-thinking,grok-3-preview-02-24,model_a,coding
claude-3-7-sonnet-20250219-thinking-32k,gpt-4.1-2025-04-14,model_b,coding
gemini-2.5-flash,kimi-k2-0711-preview,model_a,coding
mistral-small-3.1-24b-instruct-2503,claude-3-5-haiku-20241022,model_a,other
kimi-k2-0711-preview,grok-4-0709,model_a,other
llama-4-maverick-03-26-experimental,command-a-03-2025,model_b,coding
mistral-small-2506,llama-4-maverick-03-26-experimental,model_b,other
deepseek-v3-0324,gemini-2.0-flash-001,model_b,coding
qwen3-235b-a22b-no-thinking,amazon.nova-pro-v1:0,model_a,coding
o3-2025-04-16,llama-3.3-70b-instruct,model_b,other
claude-3-5-haiku-20241022,o3-2025-04-16,model_b,other
mistral-medium-2505,o4-mini-2025-04-16,model_b,coding
claude-opus-4-20250514,claude-3-7-sonnet-20250219,model_a,coding
claude-sonnet-4-20250514,amazon.nova-pro-v1:0,model_a,other
mistral-small-3.1-24b-instruct-2503,gemini-2.5-flash,model_a,other
grok-3-mini-beta,claude-sonnet-4-20250514,model_a,other
claude-sonnet-4-20250514-thinking-32k,chatgpt-4o-latest-20250326,model_b,coding
claude-3-5-sonnet-20241022,grok-3-mini-beta,model_a,coding
gpt-4.1-2025-04-14,gemma-3-27b-it,model_b,other
gemini-2.5-flash,minimax-m1,model_a,other
gpt-4.1-2025-04-14,minimax-m1,model_a,coding
claude-3-7-sonnet-20250219-thinking-32k,gemini-2.0-flash-001,model_a,other
claude-3-5-sonnet-20241022,o4-mini-2025-04-16,model_b,other
chatgpt-4o-latest-20250326,llama-4-maverick-03-26-experimental,model_a,other
amazon.nova-pro-v1:0,minimax-m1,model_b,other
claude-3-7-sonnet-20250219,qwen3-30b-a3b,model_a,other
llama-4-maverick-17b-128e-instruct,grok-3-mini-beta,model_a,coding
llama-4-maverick-17b-128e-instruct,gemini-2.0-flash-001,model_b,other
qwen3-30b-a3b,magistral-medium-2506,model_a,other
deepseek-r1-0528,gemini-2.5-pro,model_b,other
claude-sonnet-4-20250514-thinking-32k,minimax-m1,model_b,other
gemini-2.5-flash-preview-04-17,grok-3-mini-beta,model_b,coding
claude-opus-4-20250514,qwen3-235b-a22b-no-thinking,model_b,other
claude-opus-4-20250514-thinking-16k,claude-sonnet-4-20250514,model_a,coding
gpt-4.1-2025-04-14,claude-3-7-sonnet-20250219,model_b,other
llama-3.3-70b-instruct,gemini-2.0-flash-thinking-exp-01-21,model_b,coding
llama-4-maverick-17b-128e-instruct,claude-3-5-sonnet-20241022,model_b,other
gemini-2.5-pro,claude-3-7-sonnet-20250219-thinking-32k,model_a,other
o4-mini-2025-04-16,claude-opus-4-20250514,model_b,other
qwen3-235b-a22b-no-thinking,mistral-small-2506,model_b,other
gemini-2.5-pro-preview-03-25,claude-3-5-sonnet-20241022,model_a,other
claude-3-7-sonnet-20250219,amazon.nova-pro-v1:0,model_b,other
qwen3-235b-a22b-no-thinking,claude-3-7-sonnet-20250219,model_a,coding
claude-opus-4-20250514,qwen3-235b-a22b-no-thinking,model_a,other
mistral-small-3.1-24b-instruct-2503,gemini-2.5-flash,model_b,other
claude-3-5-haiku-20241022,mistral-medium-2505,model_a,other
mistral-medium-2505,claude-sonnet-4-20250514,model_b,coding
o3-mini,command-a-03-2025,model_a,other
amazon.nova-pro-v1:0,minimax-m1,model_b,other
claude-sonnet-4-20250514,gpt-4.1-2025-04-14,model_b,other
qwen3-235b-a22b-no-thinking,claude-3-5-sonnet-20241022,model_a,other
gemini-2.5-flash,qwen3-235b-a22b,model_b,other
o3-2025-04-16,deepseek-r1-0528,model_a,other
gemini-2.5-flash-lite-preview-06-17-thinking,minimax-m1,model_a,other
gemini-2.5-pro,gemini-2.5-pro-preview-05-06,model_b,other
gpt-4o-2024-11-20,claude-3-5-haiku-20241022,model_b,coding
amazon.nova-pro-v1:0,deepseek-r1-0528,model_b,other
gemini-2.5-flash,claude-opus-4-20250514,model_b,coding
claude-sonnet-4-20250514,qwen3-235b-a22b-no-thinking,model_b,other
claude-3-7-sonnet-20250219,mistral-small-2506,model_a,other
llama-4-maverick-03-26-experimental,mistral-medium-2505,model_b,other
qwen3-235b-a22b-no-thinking,claude-opus-4-20250514-thinking-16k,model_b,other
claude-opus-4-20250514,mistral-small-2506,model_a,coding
kimi-k2-0711-preview,qwen3-235b-a22b,model_b,coding
qwen3-235b-a22b-no-thinking,kimi-k2-0711-preview,model_a,coding
o4-mini-2025-04-16,mistral-small-3.1-24b-instruct-2503,model_a,other
mistral-small-3.1-24b-instruct-2503,o3-2025-04-16,model_b,other
llama-4-maverick-17b-128e-instruct,chatgpt-4o-latest-20250326,model_a,other
claude-sonnet-4-20250514-thinking-32k,gemini-2.5-flash-lite-preview-06-17-thinking,model_b,other
claude-sonnet-4-20250514,qwen3-235b-a22b,model_b,other
grok-3-mini-high,claude-opus-4-20250514-thinking-16k,model_b,other
gpt-4.1-2025-04-14,gemma-3-27b-it,model_a,other
chatgpt-4o-latest-20250326,qwq-32b,model_a,other
claude-sonnet-4-20250514-thinking-32k,o3-mini,model_a,coding
o3-2025-04-16,claude-3-7-sonnet-20250219,model_a,other
command-a-03-2025,qwen-max-2025-01-25,model_b,coding
grok-3-preview-02-24,claude-sonnet-4-20250514-thinking-32k,model_b,other
grok-3-mini-high,o4-mini-2025-04-16,model_a,other
amazon.nova-pro-v1:0,amazon-nova-experimental-chat-05-14,model_b,other
hunyuan-turbos-20250416,qwen3-235b-a22b-no-thinking,model_a,other
o3-2025-04-16,chatgpt-4o-latest-20250326,model_a,other
gpt-4.1-mini-2025-04-14,chatgpt-4o-latest-20250326,model_b,other
llama-3.3-70b-instruct,claude-3-5-sonnet-20241022,model_b,other
command-a-03-2025,minimax-m1,model_a,other
gemini-2.5-flash,o3-mini,model_a,other
claude-3-7-sonnet-20250219,gemini-2.5-pro,model_b,coding
o3-mini,claude-sonnet-4-20250514,model_b,coding
command-a-03-2025,grok-3-mini-beta,model_b,coding
gpt-4o-2024-11-20,grok-3-mini-beta,model_b,other
grok-3-mini-beta,amazon.nova-pro-v1:0,model_a,other
o4-mini-2025-04-16,kimi-k2-0711-preview,model_a,other
grok-3-preview-02-24,qwen3-235b-a22b-no-thinking,model_b,coding
llama-4-scout-17b-16e-instruct,gemini-2.5-flash-lite-preview-06-17-thinking,model_b,other
gemma-3-27b-it,qwen3-235b-a22b,model_b,other
gemini-2.0-flash-001,claude-sonnet-4-20250514-thinking-32k,model_a,other
claude-opus-4-20250514,chatgpt-4o-latest-20250326,model_a,coding
llama-4-maverick-03-26-experimental,gemini-2.5-pro-preview-05-06,model_a,coding
deepseek-v3-0324,qwen3-235b-a22b-no-thinking,model_b,other
qwen3-235b-a22b-no-thinking,grok-3-mini-beta,model_b,other
qwen3-30b-a3b,claude-opus-4-20250514,model_b,coding
llama-4-maverick-17b-128e-instruct,claude-3-7-sonnet-20250219,model_b,other
claude-3-5-haiku-20241022,qwen3-235b-a22b-no-thinking,model_b,other
qwen3-235b-a22b,amazon.nova-pro-v1:0,model_b,other
qwen3-235b-a22b-no-thinking,gpt-4.1-2025-04-14,model_a,other
gpt-4.1-2025-04-14,o3-2025-04-16,model_b,other
gemini-2.5-flash,claude-3-5-sonnet-20241022,model_a,other
gemma-3n-e4b-it,gemma-3-27b-it,model_b,other
mistral-small-2506,gemini-2.5-flash,model_a,other
gemini-2.5-flash-lite-preview-06-17-thinking,claude-3-7-sonnet-20250219-thinking-32k,model_a,coding
qwen3-235b-a22b,llama-4-maverick-17b-128e-instruct,model_a,other
llama-4-maverick-17b-128e-instruct,deepseek-v3-0324,model_b,other
o4-mini-2025-04-16,qwen3-235b-a22b-no-thinking,model_b,other
gemini-2.5-flash,amazon.nova-pro-v1:0,model_a,other
deepseek-r1-0528,claude-3-7-sonnet-20250219,model_a,coding
llama-4-scout-17b-16e-instruct,mistral-small-2506,model_b,other
o3-2025-04-16,gemma-3-27b-it,model_b,other
grok-4-0709,amazon.nova-pro-v1:0,model_a,coding
o3-2025-04-16,chatgpt-4o-latest-20250326,model_a,other
qwq-32b,claude-opus-4-20250514,model_a,other
gemini-2.5-pro,command-a-03-2025,model_a,other
gpt-4.1-2025-04-14,gpt-4.1-mini-2025-04-14,model_a,other
llama-3.3-70b-instruct,gemini-2.0-flash-001,model_b,other
o4-mini-2025-04-16,claude-3-7-sonnet-20250219,model_b,other
o4-mini-2025-04-16,claude-3-7-sonnet-20250219,model_a,other
claude-3-7-sonnet-20250219,llama-4-scout-17b-16e-instruct,model_a,other
gemma-3-27b-it,gemini-2.5-pro-preview-05-06,model_a,coding
qwen3-235b-a22b-no-thinking,o4-mini-2025-04-16,model_a,other
gemini-2.5-pro-preview-05-06,grok-3-mini-beta,model_b,other
gemini-2.0-flash-001,chatgpt-4o-latest-20250326,model_b,other
mistral-medium-2505,amazon.nova-pro-v1:0,model_a,coding
qwen3-235b-a22b-no-thinking,gemini-2.5-flash,model_a,other
gemini-2.5-pro-preview-05-06,gemini-2.5-flash,model_a,other
o3-2025-04-16,gemini-2.5-pro,model_b,coding
deepseek-v3-0324,o3-2025-04-16,model_b,other
qwen3-30b-a3b,claude-3-5-haiku-20241022,model_a,other
grok-3-mini-beta,gpt-4.1-2025-04-14,model_b,other
gemma-3-27b-it,gemma-3n-e4b-it,model_a,other
o4-mini-2025-04-16,mistral-small-2506,model_a,coding
gpt-4.1-mini-2025-04-14,grok-3-preview-02-24,model_b,other
claude-opus-4-20250514,llama-4-maverick-03-26-experimental,model_a,coding
gemini-2.5-flash,mistral-medium-2505,model_a,other
deepseek-r1-0528,grok-3-preview-02-24,model_a,coding
grok-3-mini-high,chatgpt-4o-latest-20250326,model_b,other
o3-mini,chatgpt-4o-latest-20250326,model_b,other
claude-3-7-sonnet-20250219,o3-mini,model_b,other
o3-2025-04-16,qwq-32b,model_a,coding
gemini-2.5-pro,grok-3-mini-high,model_b,other
gemini-2.0-flash-001,claude-opus-4-20250514,model_b,other
grok-3-preview-02-24,qwen-max-2025-01-25,model_a,other
claude-opus-4-20250514,claude-sonnet-4-20250514,model_a,other
claude-3-7-sonnet-20250219,minimax-m1,model_b,coding
gemma-3-27b-it,deepseek-r1-0528,model_b,other
claude-3-7-sonnet-20250219,gemini-2.5-pro,model_b,coding
gemini-2.5-pro-preview-05-06,claude-sonnet-4-20250514,model_a,other
gemma-3n-e4b-it,llama-4-maverick-17b-128e-instruct,model_a,other
grok-3-mini-beta,amazon.nova-pro-v1:0,model_a,other
mistral-medium-2505,claude-3-5-haiku-20241022,model_a,other
grok-3-preview-02-24,llama-4-maverick-17b-128e-instruct,model_a,other
claude-opus-4-20250514,o3-2025-04-16,model_b,other
o3-2025-04-16,amazon.nova-pro-v1:0,model_a,other
gemini-2.5-flash,grok-3-preview-02-24,model_a,coding
llama-4-scout-17b-16e-instruct,command-a-03-2025,model_b,other
mistral-medium-2505,gemini-2.0-flash-001,model_a,other
o3-2025-04-16,llama-4-maverick-03-26-experimental,model_a,coding
gpt-4.1-mini-2025-04-14,deepseek-r1-0528,model_a,coding
claude-sonnet-4-20250514-thinking-32k,qwen3-235b-a22b-no-thinking,model_b,coding
claude-sonnet-4-20250514,gpt-4.1-mini-2025-04-14,model_a,coding
llama-4-maverick-17b-128e-instruct,gemini-2.5-pro,model_b,other
gemini-2.5-flash-lite-preview-06-17-thinking,claude-3-5-sonnet-20241022,model_a,coding
mistral-small-2506,o3-2025-04-16,model_a,other
gemini-2.5-pro,gpt-4.1-2025-04-14,model_b,coding
magistral-medium-2506,gpt-4.1-2025-04-14,model_b,other
command-a-03-2025,o3-2025-04-16,model_b,coding
o3-mini,gpt-4.1-2025-04-14,model_a,coding
qwen3-235b-a22b-no-thinking,qwen3-30b-a3b,model_b,other
gemini-2.5-flash,command-a-03-2025,model_a,other
llama-3.3-70b-instruct,mistral-medium-2505,model_b,other
gemini-2.5-pro,qwen3-235b-a22b,model_a,other
gpt-4.1-2025-04-14,qwen3-235b-a22b,model_a,coding
deepseek-v3-0324,amazon.nova-pro-v1:0,model_b,coding
gemini-2.5-pro,minimax-m1,model_a,other
deepseek-v3-0324,o3-mini,model_a,other
qwq-32b,claude-sonnet-4-20250514,model_b,coding
gpt-4.1-2025-04-14,llama-4-maverick-17b-128e-instruct,model_a,other
claude-opus-4-20250514,command-a-03-2025,model_b,other
mistral-small-3.1-24b-instruct-2503,qwen3-30b-a3b,model_a,other
o4-mini-2025-04-16,mistral-medium-2505,model_a,coding
gemini-2.0-flash-001,claude-3-5-sonnet-20241022,model_a,other
gemma-3-27b-it,gpt-4.1-2025-04-14,model_a,other
o3-2025-04-16,qwq-32b,model_b,coding
qwen3-30b-a3b,gpt-4.1-mini-2025-04-14,model_a,other
deepseek-v3-0324,mistral-medium-2505,model_a,other
amazon.nova-pro-v1:0,qwen3-235b-a22b-no-thinking,model_b,other
claude-3-7-sonnet-20250219,gemini-2.5-pro-preview-03-25,model_b,other
gpt-4o-mini-2024-07-18,gemini-2.5-pro-preview-03-25,model_b,other
claude-sonnet-4-20250514,o3-mini,model_a,coding
claude-opus-4-20250514-thinking-16k,claude-opus-4-20250514,model_b,other
claude-3-7-sonnet-20250219-thinking-32k,o3-mini,model_a,other
chatgpt-4o-latest-20250326,gemini-2.5-pro,model_b,other
qwen3-235b-a22b,gemini-2.5-pro,model_b,other
o3-mini,gemini-2.5-pro,model_b,other
gpt-4.1-mini-2025-04-14,grok-3-mini-beta,model_a,coding
gemma-3-27b-it,claude-3-5-sonnet-20241022,model_a,other
claude-3-5-sonnet-20241022,mistral-medium-2505,model_b,other
llama-3.3-70b-instruct,grok-3-preview-02-24,model_b,other
gemini-2.5-pro,gpt-4.1-mini-2025-04-14,model_a,other
qwen3-30b-a3b,deepseek-r1-0528,model_b,coding
llama-4-maverick-03-26-experimental,claude-3-7-sonnet-20250219-thinking-32k,model_a,other
grok-3-mini-high,qwq-32b,model_b,coding
grok-3-mini-beta,grok-3-preview-02-24,model_b,coding
gemini-2.5-flash,command-a-03-2025,model_a,other
gemini-2.5-pro-preview-05-06,claude-opus-4-20250514,model_a,other
llama-4-maverick-17b-128e-instruct,grok-3-preview-02-24,model_b,other
